Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-0.586614,3.338583,-90.000000,bottom
"J1","Power_inlet_vertical","Wurth-694106402002",-4.803150,0.519685,0.000000,bottom
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-4.200394,1.703661,180.000000,bottom
"C1","10uf","C_0805_2012Metric",3.965394,0.915197,-90.000000,top
"C2","C_0805_1uf","C_0805_2012Metric",4.586614,0.301181,-90.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",4.023622,0.372047,-90.000000,top
"C4","C_0805_0.1uf","C_0805_2012Metric",3.665394,0.153661,0.000000,top
"C5","22p","C_0805_2012Metric",3.200394,1.158661,90.000000,top
"C6","22p","C_0805_2012Metric",3.220394,0.458661,-90.000000,top
"C7","C_0805_1uf","C_0805_2012Metric",1.751969,1.021654,-90.000000,top
"C8","C_0805_1uf","C_0805_2012Metric",0.279528,0.816929,-90.000000,top
"C9","C_0805_0.1uf","C_0805_2012Metric",1.759843,0.816929,-90.000000,top
"C10","C_0805_0.1uf","C_0805_2012Metric",0.275591,0.998031,-90.000000,top
"C11","100n","C_0805_2012Metric",4.035394,1.193661,0.000000,top
"C12","C_0805_1uf","C_0805_2012Metric",5.177165,0.992126,0.000000,top
"D1","KWM-30881CVB","KWM-30881CVB",2.450394,0.798661,0.000000,top
"D2","KWM-30881CVB","KWM-30881CVB",1.047953,0.798661,0.000000,top
"DS1","TC1602A-01T","TC1602A-01T",2.290551,3.313287,0.000000,top
"R1","10KÎ©","R_0805_2012Metric",3.410394,1.163661,0.000000,top
"R2","R_0805_200","R_0805_2012Metric",4.581929,1.498661,0.000000,top
"R3","R_0805_200","R_0805_2012Metric",4.610394,1.618661,180.000000,top
"R4","R_0805_10K","R_0805_2012Metric",1.917323,2.084646,-90.000000,top
"R5","R_0805_10K","R_0805_2012Metric",0.370079,1.844488,-90.000000,top
"R6","R_0805_22K","R_0805_2012Metric",1.740157,1.222441,90.000000,top
"R7","R_0805_4.7K","R_0805_2012Metric",1.740157,1.372047,90.000000,top
"R8","R_0805_22K","R_0805_2012Metric",0.271654,1.163386,90.000000,top
"R9","R_0805_4.7K","R_0805_2012Metric",0.267717,1.324803,90.000000,top
"R10","R_0805_200","R_0805_2012Metric",4.430394,0.898661,180.000000,top
"R11","R_0805_1K","R_0805_2012Metric",5.250000,2.972441,-90.000000,top
"R12","R_0805_2.2K","R_0805_2012Metric",1.525394,2.095197,90.000000,top
"R13","R_0805_2.2K","R_0805_2012Metric",1.585394,2.650197,-90.000000,top
"RV1","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",1.620394,3.068661,0.000000,top
"SW1","RotaryEncoder_Switch","RotaryEncoder_TT_EN11-Switch_Vertical_H20mm_CircularMountingHoles",4.763780,1.696850,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.158976,0.841181,-90.000000,top
"U1","L7805","TO-252-2",4.315945,0.426181,180.000000,top
"U2","ATmega328-PU","DIP-28_W7.62mm",3.560787,1.678268,0.000000,top
"U4","DS1307_DIP-8","DIP-8_W7.62mm",1.120394,2.238661,90.000000,top
"U5","MAX7219","DIP-24_W7.62mm",2.970591,1.858268,-90.000000,top
"U6","MAX7219","DIP-24_W7.62mm",1.590394,1.858661,-90.000000,top
"Y1","Crystal 16MHZ","Crystal_SMD_HC49-SD",3.220394,0.808661,-90.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",1.170000,2.098268,0.000000,top
